customer_id,name,email,region,start_date,end_date,is_current
1000,Allison Hill,jillrhodes@miller.com,East,2023-01-01,9999-12-31,1
1001,Lance Hoffman,shaneramirez@gmail.com,East,2023-01-01,9999-12-31,1
1002,Caitlin Henderson,jasongallagher@gmail.com,North,2023-01-01,9999-12-31,1
1003,Brent Abbott,blairamanda@yahoo.com,West,2023-01-01,9999-12-31,1
1004,Edward Fuller,janetwilliams@gmail.com,West,2023-01-01,9999-12-31,1
1005,Victoria Wyatt,oramirez@martin-kelly.com,West,2023-01-01,9999-12-31,1
1006,Melinda Jones,frankgray@watts.com,East,2023-01-01,9999-12-31,1
1007,Andrew Stewart,clarksherri@hotmail.com,East,2023-01-01,9999-12-31,1
1008,Matthew Foster,josephwright@hotmail.com,South,2023-01-01,9999-12-31,1
1009,Nicole Patterson,jeffrey28@yahoo.com,East,2023-01-01,9999-12-31,1
1010,Anthony Rodriguez,ycarlson@carlson-mcdonald.com,East,2023-01-01,9999-12-31,1
1011,Shannon Smith,kayla51@graham-chavez.com,East,2023-01-01,9999-12-31,1
1012,Pamela Romero,meagan89@hernandez.net,West,2023-01-01,9999-12-31,1
1013,Tammy Sellers,xsmith@yahoo.com,West,2023-01-01,9999-12-31,1
1014,David Bradley,dennislisa@cannon.net,East,2023-01-01,9999-12-31,1
1015,Joseph Obrien,jenniferross@santos.com,West,2023-01-01,9999-12-31,1
1016,Austin Smith,adrianzimmerman@perez.com,South,2023-01-01,9999-12-31,1
1017,David Caldwell,jenniferkhan@kennedy.com,West,2023-01-01,9999-12-31,1
1018,Matthew Gomez,dshields@hotmail.com,South,2023-01-01,9999-12-31,1
1019,Maria Brown,wrightjames@yahoo.com,North,2023-01-01,9999-12-31,1
1020,Clifford Ford,jmorton@williams.com,East,2023-01-01,9999-12-31,1
1021,Tammy Allison,ntucker@barrera-martin.com,West,2023-01-01,9999-12-31,1
1022,Mrs. Rachel Gibson,smoore@gmail.com,South,2023-01-01,9999-12-31,1
1023,Lauren Daniels,williamsthomas@hotmail.com,North,2023-01-01,9999-12-31,1
1024,Tyler Miller,larsonemma@powell.com,North,2023-01-01,9999-12-31,1
1025,Amanda Miller,james53@yahoo.com,West,2023-01-01,9999-12-31,1
1026,Michael Evans,smithchristine@hotmail.com,West,2023-01-01,9999-12-31,1
1027,Angel Lewis MD,suarezmike@gmail.com,North,2023-01-01,9999-12-31,1
1028,Joshua Turner,sarah12@wilson-rodriguez.net,East,2023-01-01,9999-12-31,1
1029,Douglas Clark,gracefarrell@hotmail.com,East,2023-01-01,9999-12-31,1
1030,Taylor Mathis Jr.,bradley52@hotmail.com,South,2023-01-01,9999-12-31,1
1031,Candice Ramos,rodriguezsierra@hotmail.com,East,2023-01-01,9999-12-31,1
1032,Kimberly Davenport,tanderson@nolan-flynn.com,North,2023-01-01,9999-12-31,1
1033,Christine Wright,kimberly69@moore.com,North,2023-01-01,9999-12-31,1
1034,Allison Doyle,vpham@gmail.com,North,2023-01-01,9999-12-31,1
1035,Richard Rodriguez,dwalker@torres-pope.com,East,2023-01-01,9999-12-31,1
1036,Matthew Ross,rasmussenjoshua@hotmail.com,South,2023-01-01,9999-12-31,1
1037,Meghan Anthony,wilsontara@gmail.com,East,2023-01-01,9999-12-31,1
1038,Victoria Johnson,jessica56@hotmail.com,South,2023-01-01,9999-12-31,1
1039,Mrs. Stephanie Lee,zsmith@mcdaniel.com,East,2023-01-01,9999-12-31,1
1040,Benjamin Beck,elizabeth14@hotmail.com,North,2023-01-01,9999-12-31,1
1041,Jason Powell,jamesortega@yahoo.com,North,2023-01-01,9999-12-31,1
1042,Stephanie Gilbert,akelley@yahoo.com,West,2023-01-01,9999-12-31,1
1043,Jeffrey Carpenter,rramos@gmail.com,East,2023-01-01,9999-12-31,1
